source_id,source_id_key,known_candidate,m2_gmm_label,reference_member,reference_candidate,new_member,m2_omitted_candidate,selection_count,selection_frequency,mean_membership_probability,median_membership_probability,stability_group
3077599639614249856,3077599639614249856,False,4,False,False,False,False,0,0.0,0.8348324298169592,0.857422970665489,field stars
3077600189370066688,3077600189370066688,False,4,False,False,False,False,0,0.0,0.7047361400784039,0.7258396766764652,field stars
3077600288153168128,3077600288153168128,False,2,False,False,False,False,0,0.0,0.8874615384458439,0.9197535992870818,field stars
3077603144307556608,3077603144307556608,False,4,False,False,False,False,0,0.0,0.8136889441933987,0.8297945443821692,field stars
3077603174371033344,3077603174371033344,False,3,False,False,False,False,0,0.0,0.7426459699475944,0.7454830554701632,field stars
3077603346169725056,3077603346169725056,False,1,False,False,False,False,0,0.0,0.835277196512903,0.8900610731430398,field stars
3077604072020478976,3077604072020478976,False,2,False,False,False,False,0,0.0,0.7953247958760454,0.8415953148943854,field stars
3077605476474295680,3077605476474295680,False,4,False,False,False,False,0,0.0,0.8110109224783439,0.8247294363684685,field stars
3077606202324247296,3077606202324247296,False,7,False,False,False,False,0,0.0,0.7374204038535411,0.6731832077518276,field stars
3077606442842417920,3077606442842417920,False,4,False,False,False,False,0,0.0,0.7578648093839111,0.7275095482132605,field stars
3077606545921631744,3077606545921631744,False,3,False,False,False,False,0,0.0,0.6342387162126032,0.5853088733455376,field stars
3077606683360580608,3077606683360580608,False,1,False,False,False,False,0,0.0,0.6321109122417009,0.6010206017934039,field stars
3077606958238495616,3077606958238495616,False,4,False,False,False,False,0,0.0,0.6101650978479117,0.559240255756762,field stars
3077607091381995392,3077607091381995392,False,7,False,False,False,False,0,0.0,0.9309398317095761,0.9546472899156206,field stars
3077607847296244352,3077607847296244352,False,4,False,False,False,False,0,0.0,0.8222455920058511,0.8308616328254756,field stars
3077608156533889024,3077608156533889024,False,1,False,False,False,False,0,0.0,0.8415543560782546,0.8840443914817014,field stars
3077608878088389248,3077608878088389248,False,7,False,False,False,False,0,0.0,0.9506826193332861,0.9899447217243775,field stars
3077609363420192256,3077609363420192256,False,1,False,False,False,False,0,0.0,0.7515351746046905,0.7631987993360643,field stars
3077609569578620928,3077609569578620928,False,0,False,False,False,False,0,0.0,0.9655465492641787,0.988753924303711,field stars
3077610566011025408,3077610566011025408,True,7,False,False,False,True,2,0.024390243902439025,0.9482450388568735,0.9880578551691026,3 M2 omitted candidates
3077611390644752256,3077611390644752256,False,4,False,False,False,False,0,0.0,0.712955884057756,0.7164988468968558,field stars
3077629803169057024,3077629803169057024,False,0,False,False,False,False,0,0.0,0.9465486965290375,0.991507402620381,field stars
3077634205511014400,3077634205511014400,False,3,False,False,False,False,0,0.0,0.6053633198445012,0.6293468705946106,field stars
3077635163288234496,3077635163288234496,False,4,False,False,False,False,0,0.0,0.9070051690695202,0.9728222133367552,field stars
3077636301455048064,3077636301455048064,False,0,False,False,False,False,0,0.0,0.9579325834013014,0.9992608949732227,field stars
3083465151896028800,3083465151896028800,False,2,False,False,False,False,0,0.0,0.772815021757899,0.7869510051292858,field stars
3083466805459854592,3083466805459854592,False,0,False,False,False,False,0,0.0,0.7997447244955284,0.8225845491770738,field stars
3083467527014095360,3083467527014095360,False,7,False,False,False,False,0,0.0,0.7183017269873649,0.7299924588947129,field stars
3083468970123363712,3083468970123363712,False,1,False,False,False,False,0,0.0,0.8316151547459448,0.9144353962566154,field stars
3083470202777555968,3083470202777555968,False,1,False,False,False,False,0,0.0,0.8416192965270128,0.9168135235638468,field stars
3083473402529365888,3083473402529365888,False,7,False,False,False,False,0,0.0,0.7767987462312147,0.7531274200930745,field stars
3083474330242310272,3083474330242310272,False,3,False,False,False,False,0,0.0,0.5784083219070222,0.577908270294148,field stars
3083478105517388288,3083478105517388288,False,3,False,False,False,False,0,0.0,0.5840638765953551,0.5827481476497784,field stars
3083479724721209216,3083479724721209216,False,1,False,False,False,False,0,0.0,0.7063877386949012,0.7125806414183653,field stars
3083479896519890560,3083479896519890560,False,3,False,False,False,False,0,0.0,0.724014853714495,0.7436690543661297,field stars
3083480240117272192,3083480240117272192,False,7,False,False,False,False,0,0.0,0.9454573098731892,0.9930535473992377,field stars
3083483057615799424,3083483057615799424,True,5,True,True,False,False,64,0.7804878048780488,0.8767554732420385,0.9230762312346827,24 M2 reference candidates
3083483298134259968,3083483298134259968,False,4,False,False,False,False,0,0.0,0.6945068769908929,0.6734054720419584,field stars
3083484947401438336,3083484947401438336,False,2,False,False,False,False,0,0.0,0.8881598411389162,0.9492369567200882,field stars
3083502127270446464,3083502127270446464,False,2,False,False,False,False,0,0.0,0.8438830778398511,0.8886364166991583,field stars
3083502470867841536,3083502470867841536,False,1,False,False,False,False,0,0.0,0.8515854603275294,0.9306646135890306,field stars
3083504017056019200,3083504017056019200,False,1,False,False,False,False,0,0.0,0.8003626681148462,0.809816689389466,field stars
3083504566811851392,3083504566811851392,False,4,False,False,False,False,0,0.0,0.7726424239300187,0.8057367171177938,field stars
3083504807330013952,3083504807330013952,False,0,False,False,False,False,0,0.0,0.882008046750331,0.9511046191119301,field stars
3083511782356701440,3083511782356701440,False,2,False,False,False,False,0,0.0,0.6358508340899216,0.6264409245709124,field stars
3083513496047903872,3083513496047903872,False,4,False,False,False,False,0,0.0,0.8383735531231218,0.9085034617483198,field stars
3083515596288854528,3083515596288854528,False,8,False,False,False,False,0,0.0,0.9846686377420484,0.9999975408813673,field stars
3083516008604749952,3083516008604749952,False,0,False,False,False,False,0,0.0,0.8182443652295768,0.8006173104272589,field stars
3083516214763161600,3083516214763161600,False,6,False,False,False,False,0,0.0,0.8807335619848031,0.9756854905107311,field stars
3083516901957915264,3083516901957915264,False,6,False,False,False,False,0,0.0,0.8241580875794344,0.8632669840654804,field stars
3083517314274743680,3083517314274743680,False,4,False,False,False,False,0,0.0,0.7209945580855214,0.736404553509288,field stars
3083517829670844800,3083517829670844800,False,7,False,False,False,False,0,0.0,0.9195985426026879,0.9852954442808779,field stars
3083520574153994496,3083520574153994496,False,4,False,False,False,False,0,0.0,0.7302886040692228,0.7513202653398899,field stars
3083521025126513792,3083521025126513792,False,4,False,False,False,False,0,0.0,0.8646097472194358,0.8874161007550565,field stars
3083522326500645120,3083522326500645120,False,0,False,False,False,False,0,0.0,0.9746129716811789,0.99603270543156,field stars
3083522536954785920,3083522536954785920,False,7,False,False,False,False,0,0.0,0.7906160787019346,0.7781961221058845,field stars
3083523739546110080,3083523739546110080,False,7,False,False,False,False,0,0.0,0.810068209292706,0.8259944883920464,field stars
3083524495460059776,3083524495460059776,False,7,False,False,False,False,0,0.0,0.9405421959642133,0.9660659392763613,field stars
3083524937840776832,3083524937840776832,False,6,False,False,False,False,0,0.0,0.9796717012686388,0.9999389115798294,field stars
3083526969361171840,3083526969361171840,False,4,False,False,False,False,0,0.0,0.8836735748869246,0.9600034426521727,field stars
3083529099664990336,3083529099664990336,False,4,False,False,False,False,0,0.0,0.7924376856481863,0.8146051796275106,field stars
3083530577133675392,3083530577133675392,False,4,False,False,False,False,0,0.0,0.7041846614712899,0.7019506258419024,field stars
3083532157682782080,3083532157682782080,False,0,False,False,False,False,0,0.0,0.9620540730867324,0.999795605111514,field stars
3083533532071483392,3083533532071483392,False,1,False,False,False,False,0,0.0,0.9003702494120693,0.9288115031039118,field stars
3083535593655764352,3083535593655764352,False,7,False,False,False,False,0,0.0,0.7651569548019174,0.7508245532605808,field stars
3083538239355295488,3083538239355295488,False,1,False,False,False,False,0,0.0,0.8661174995583785,0.906950938411338,field stars
3083538995269853184,3083538995269853184,False,3,False,False,False,False,0,0.0,0.8174998700391019,0.8498431411325799,field stars
3083539819903240960,3083539819903240960,False,3,False,False,False,False,0,0.0,0.7824313077771342,0.8318153940891713,field stars
3083541503530513792,3083541503530513792,False,7,False,False,False,False,0,0.0,0.8705815770007422,0.8787262402991516,field stars
3083542534322670464,3083542534322670464,False,7,False,False,False,False,0,0.0,0.766281509947415,0.7224637022212694,field stars
3083543496395317376,3083543496395317376,False,4,False,False,False,False,0,0.0,0.795640168272306,0.8174114659721644,field stars
3083543668193995136,3083543668193995136,False,7,False,False,False,False,0,0.0,0.7833266661708654,0.7534006424018509,field stars
3083544114870615680,3083544114870615680,False,3,False,False,False,False,0,0.0,0.7273454755535761,0.7273916508048772,field stars
3083544385452670336,3083544385452670336,False,3,False,False,False,False,0,0.0,0.5784669427530479,0.5732106094279406,field stars
3083545935936759424,3083545935936759424,False,6,False,False,False,False,0,0.0,0.995846024912834,0.9995521949710524,field stars
3083549268831335296,3083549268831335296,False,2,False,False,False,False,0,0.0,0.7337966627785384,0.7352445415584181,field stars
3083551502214309248,3083551502214309248,False,2,False,False,False,False,0,0.0,0.8104516716443568,0.8297769133544555,field stars
3083552704805115136,3083552704805115136,False,6,False,False,False,False,0,0.0,0.6260498447055322,0.6242080666133912,field stars
3083552837948298112,3083552837948298112,False,2,False,False,False,False,0,0.0,0.6822698191439537,0.677314895596271,field stars
3083553117121981312,3083553117121981312,True,5,True,True,False,False,81,0.9878048780487805,0.999865139145708,0.9999999999999982,24 M2 reference candidates
3083553185841464704,3083553185841464704,False,0,False,False,False,False,0,0.0,0.9749716322913928,0.9976796665998593,field stars
3083556278216260224,3083556278216260224,False,5,True,False,True,False,71,0.8658536585365854,0.9997216512289232,0.9999999999998526,8 M2 new members
3083556999772413568,3083556999772413568,False,6,False,False,False,False,0,0.0,0.7021079500065724,0.715820837924692,field stars
3083557343369809664,3083557343369809664,False,4,False,False,False,False,0,0.0,0.8057272895186284,0.830435520817744,field stars
3083606134200735104,3083606134200735104,False,1,False,False,False,False,0,0.0,0.8934547356637393,0.9663399972301877,field stars
3083606409078631936,3083606409078631936,False,3,False,False,False,False,0,0.0,0.7060667336875066,0.748103386702067,field stars
3083609256638613888,3083609256638613888,False,0,False,False,False,False,0,0.0,0.8542449170138575,0.9216662649248962,field stars
3083609604534301568,3083609604534301568,False,1,False,False,False,False,0,0.0,0.696632602821406,0.6745051737584538,field stars
3083610463527766272,3083610463527766272,False,8,False,False,False,False,0,0.0,0.9863039676484505,0.9999955919234681,field stars
3083610944564954624,3083610944564954624,False,1,False,False,False,False,0,0.0,0.885982069235468,0.9316521626182176,field stars
3083614243098780160,3083614243098780160,False,4,False,False,False,False,0,0.0,0.8528794108964352,0.9117713304071126,field stars
3083614758492274176,3083614758492274176,False,0,False,False,False,False,0,0.0,0.8477914601269366,0.9381681451762774,field stars
3083615308250666496,3083615308250666496,False,1,False,False,False,False,0,0.0,0.8637184932478869,0.9104967116410957,field stars
3083616407762322048,3083616407762322048,False,6,False,False,False,False,0,0.0,0.9278142008749481,0.9999947346767353,field stars
3083618194468695040,3083618194468695040,False,2,False,False,False,False,0,0.0,0.8992390649489832,0.9746429599424473,field stars
3083618812943969152,3083618812943969152,False,3,False,False,False,False,0,0.0,0.8419270875133728,0.883029003692305,field stars
3083620771449042816,3083620771449042816,False,6,False,False,False,False,0,0.0,0.8371894207239103,0.904145446512545,field stars
3083622180198551424,3083622180198551424,False,4,False,False,False,False,0,0.0,0.753751420880436,0.7509900508672444,field stars
3083623623307303424,3083623623307303424,False,2,False,False,False,False,0,0.0,0.6553504537182353,0.6485270770484461,field stars
3083626612604541824,3083626612604541824,False,7,False,False,False,False,0,0.0,0.8984036503933089,0.9732018825119997,field stars
3083644170430964480,3083644170430964480,False,6,False,False,False,False,0,0.0,0.9499668728286252,0.9999618756301454,field stars
3083644857625429504,3083644857625429504,False,1,False,False,False,False,0,0.0,0.8704687330109914,0.9321872428911222,field stars
3083645304302059776,3083645304302059776,False,7,False,False,False,False,0,0.0,0.9358402509071121,0.9611328246171027,field stars
3083645441741003776,3083645441741003776,False,3,False,False,False,False,0,0.0,0.8182989883867238,0.8882156057398729,field stars
3083645888417588480,3083645888417588480,False,3,False,False,False,False,0,0.0,0.7108906904390124,0.7171333732883265,field stars
3083646266374704896,3083646266374704896,False,2,False,False,False,False,0,0.0,0.6802695217339714,0.7057506713655735,field stars
3083651729573211904,3083651729573211904,False,1,False,False,False,False,0,0.0,0.9288967044202829,0.9849664787587655,field stars
3083652588566429952,3083652588566429952,False,7,False,False,False,False,0,0.0,0.8451695189334446,0.8598714211990934,field stars
3083653069602994304,3083653069602994304,False,2,False,False,False,False,0,0.0,0.8327031326315919,0.8927587378626953,field stars
3083654237833869568,3083654237833869568,False,4,False,False,False,False,0,0.0,0.8409244167240091,0.8634887407449372,field stars
