algorithm,min_cluster_size,min_samples,cluster_selection_method,n_clusters,noise_count,noise_fraction,clustered_count,clustered_fraction,smallest_cluster,largest_cluster,silhouette,calinski_harabasz,davies_bouldin,admissible,selection_score,xi,n_components,covariance_type,bic,aic,converged
OPTICS,0.04,20.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.03,,,,,
OPTICS,0.06,20.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.03,,,,,
OPTICS,0.02,20.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.05,,,,,
OPTICS,0.04,20.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.05,,,,,
OPTICS,0.06,20.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.05,,,,,
OPTICS,0.02,20.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.08,,,,,
OPTICS,0.04,20.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.08,,,,,
OPTICS,0.06,20.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.08,,,,,
OPTICS,0.02,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.03,,,,,
OPTICS,0.04,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.03,,,,,
OPTICS,0.06,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.03,,,,,
OPTICS,0.02,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.05,,,,,
OPTICS,0.04,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.05,,,,,
OPTICS,0.06,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.05,,,,,
OPTICS,0.02,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.08,,,,,
OPTICS,0.04,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.08,,,,,
OPTICS,0.06,30.0,,1,0,0.0,1838,1.0,1838,1838,,,,False,-0.85,0.08,,,,,
GMM,,,,1,0,0.0,1838,1.0,1838,1838,,,,,,,1.0,full,22072.717296054332,21962.388629996018,True
GMM,,,,2,0,0.0,1838,1.0,532,1306,0.3044586320442753,428.1285421988973,1.6612000768559094,,,,2.0,full,18401.16803396335,18174.994268543807,True
GMM,,,,3,0,0.0,1838,1.0,60,1317,0.2791499801291374,467.64273411604637,1.3246830045708764,,,,3.0,full,17642.039584342005,17300.020719561235,True
GMM,,,,4,0,0.0,1838,1.0,65,1097,0.2252772052679822,395.3602215735233,1.399537760688986,,,,4.0,full,16888.192286926205,16430.328322784208,True
GMM,,,,5,0,0.0,1838,1.0,54,730,0.18121942252546186,328.7284560228912,1.9230667006746949,,,,5.0,full,16759.748426837687,16186.039363334461,True
GMM,,,,6,0,0.0,1838,1.0,27,602,0.1540336274251324,349.5982966422423,2.0594684122786595,,,,6.0,full,16717.857986589916,16028.303823725462,True
GMM,,,,7,0,0.0,1838,1.0,27,545,0.0797605649458838,295.53212953547063,2.1461874390084397,,,,7.0,full,16590.671007962177,15785.271745736496,True
GMM,,,,8,0,0.0,1838,1.0,27,372,0.10007774827477837,277.3455143888944,2.284940837933272,,,,8.0,full,16713.07247651287,15791.828114925956,True
GMM,,,,9,0,0.0,1838,1.0,32,337,0.05937117195176967,221.65857939546254,2.770307029212461,,,,9.0,full,16518.065977508253,15480.976516560113,True
GMM,,,,10,0,0.0,1838,1.0,27,419,0.06951620160025598,238.7394961802541,2.388363744856013,,,,10.0,full,16648.397821487015,15495.463261177647,True
GMM,,,,1,0,0.0,1838,1.0,1838,1838,,,,,,,1.0,tied,22072.71729605433,21962.388629996014,True
GMM,,,,2,0,0.0,1838,1.0,431,1407,0.2963542622726471,420.74612748500977,1.4544414439861386,,,,2.0,tied,20495.523200051044,20352.09593417524,True
GMM,,,,3,0,0.0,1838,1.0,19,1396,0.31231191636033157,587.3348819782838,1.1087531037838245,,,,3.0,tied,19633.65507200698,19457.12920631368,True
GMM,,,,4,0,0.0,1838,1.0,19,984,0.14743854228867934,483.43755773734637,1.5149400307966272,,,,4.0,tied,19658.90729363361,19449.282828122814,True
GMM,,,,5,0,0.0,1838,1.0,7,1275,0.24873207507330583,396.6059492837975,1.2247157948055454,,,,5.0,tied,18832.07336859531,18589.35030326702,True
GMM,,,,6,0,0.0,1838,1.0,17,945,0.15393035124219795,309.77371445064625,2.0006650953062484,,,,6.0,tied,18579.06458906959,18303.242923923808,True
