run_key,experiment_family,experiment_name,run_id,random_state,train_fraction,train_size,scaler,features,n_features,n_components,covariance_type,n_init,converged,n_iter,lower_bound,bic_all,aic_all,ari_vs_m2_gmm,matched_label,matched_group_size,reference_overlap_count,reference_recall,jaccard_overlap,candidate_count,candidate_fraction,candidate_enrichment,reference_candidates_selected,new_members_selected,omitted_candidates_selected
scaler_sensitivity:MinMaxScaler:MinMaxScaler,scaler_sensitivity,MinMaxScaler,MinMaxScaler,42,1.0,1838,MinMaxScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,37,6.070710722263738,-20905.954223775825,-21943.043684723965,0.4770001209798089,8,34,28,0.875,0.7368421052631579,22,0.6470588235294118,44.0479302832244,22,6,0
scaler_sensitivity:PowerTransformer:PowerTransformer,scaler_sensitivity,PowerTransformer,PowerTransformer,42,1.0,1838,PowerTransformer,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,24,-5.48432257438345,21569.34096476047,20532.25150381233,0.4406062897763352,4,47,28,0.875,0.5490196078431373,23,0.48936170212765956,33.31284475965327,23,5,0
scaler_sensitivity:none:none,scaler_sensitivity,none,none,42,1.0,1838,none,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,55,-9.917900413781366,37868.05433313333,36830.96487218519,0.38059735434542424,5,28,25,0.78125,0.7142857142857143,20,0.7142857142857143,48.62433862433862,20,5,0
n_components_sensitivity:n_components_6:n_components_6,n_components_sensitivity,n_components_6,n_components_6,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,6,full,5,True,16,-4.293068823088455,16717.857986589916,16028.303823725462,0.34687449301452594,3,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
n_components_sensitivity:n_components_7:n_components_7,n_components_sensitivity,n_components_7,n_components_7,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,7,full,5,True,43,-4.215418423726214,16590.671007962177,15785.271745736496,0.39831266129441734,3,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
n_components_sensitivity:n_components_8:n_components_8,n_components_sensitivity,n_components_8,n_components_8,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,8,full,5,True,37,-4.205902891508075,16713.07247651287,15791.828114925956,0.690719600811096,2,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
n_components_sensitivity:n_components_9:n_components_9,n_components_sensitivity,n_components_9,n_components_9,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,55,-4.109660156006034,16518.065977508253,15480.976516560113,1.0,5,32,32,1.0,1.0,24,0.75,51.05555555555555,24,8,0
n_components_sensitivity:n_components_10:n_components_10,n_components_sensitivity,n_components_10,n_components_10,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,10,full,5,True,54,-4.102301450598368,16648.397821487015,15495.463261177647,0.4574501155443278,3,27,27,0.84375,0.84375,23,0.8518518518518519,57.989026063100134,23,4,0
n_components_sensitivity:n_components_11:n_components_11,n_components_sensitivity,n_components_11,n_components_11,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,11,full,5,True,40,-4.096887476766128,16785.939359870747,15517.15970020015,0.36622974957182697,5,22,22,0.6875,0.6875,19,0.8636363636363636,58.791245791245785,19,3,0
n_components_sensitivity:n_components_12:n_components_12,n_components_sensitivity,n_components_12,n_components_12,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,12,full,5,True,40,-4.039155101667711,16731.417529907285,15346.792770875461,0.4773275697408036,4,11,11,0.34375,0.34375,11,1.0,68.07407407407408,11,0,0
covariance_sensitivity:full:full,covariance_sensitivity,full,full,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,55,-4.109660156006034,16518.065977508253,15480.976516560113,1.0,5,32,32,1.0,1.0,24,0.75,51.05555555555555,24,8,0
covariance_sensitivity:tied:tied,covariance_sensitivity,tied,tied,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,tied,5,True,22,-4.8446766281755735,18316.876764266475,17941.75929966821,0.2749278164040924,6,14,14,0.4375,0.4375,14,1.0,68.07407407407408,14,0,0
covariance_sensitivity:diag:diag,covariance_sensitivity,diag,diag,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,diag,5,True,51,-4.46752009729408,17157.86687163742,16617.25640795169,0.3381052790623289,5,36,28,0.875,0.7,25,0.6944444444444444,47.273662551440324,24,4,1
covariance_sensitivity:spherical:spherical,covariance_sensitivity,spherical,spherical,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,spherical,5,True,26,-5.039909019586905,18990.182427803662,18648.163563022892,0.24624953729154958,4,23,22,0.6875,0.6666666666666666,21,0.9130434782608695,62.15458937198067,21,1,0
