source_id,mc_mode,draw_index,variable_order,parallax_draw_mas,pmra_draw_masyr,pmdec_draw_masyr,parallax_reference_mas,pmra_reference_masyr,pmdec_reference_masyr,ra_fixed_deg,dec_fixed_deg,radial_velocity_fixed_kms,valid_draw,rejection_reason,distance_kpc_draw,Lx_kpc_kms,Ly_kpc_kms,Lz_kpc_kms,Lperp_kpc_kms,Ltot_kpc_kms,galpy_eccentricity,galpy_rperi_kpc,galpy_rap_kpc,galpy_zmax_kpc,galpy_energy
3089534353001157632,correlated_gaia_astrometry_rv_fixed,114,"parallax_mas, pmra_masyr, pmdec_masyr",0.456505775569591,2.944301867947389,-36.29256634622061,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.190552789287892,223.89841076014542,-1288.6297197536267,489.57875763019126,1307.9361807722994,1396.5616394903416,0.819942657119149,2.189405714667992,22.129577112006103,17.85730960287221,-24071.72967577976
3089534353001157632,correlated_gaia_astrometry_rv_fixed,115,"parallax_mas, pmra_masyr, pmdec_masyr",0.4607712019315186,2.9141161647758578,-36.27627504796504,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.17027452194945,218.10921951408974,-1278.372843205107,455.93190782851394,1296.8456954785927,1374.6572890933592,0.8418798197845226,1.8641621338855328,21.714891865991735,17.665878529399357,-24866.79400714098
3089534353001157632,correlated_gaia_astrometry_rv_fixed,116,"parallax_mas, pmra_masyr, pmdec_masyr",0.48910825371903194,2.9181606529917556,-36.31037555590963,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.044537160017851,183.3653586735555,-1203.9904551567288,265.4764088668159,1217.873503640665,1246.472460399671,0.8841766683510531,1.2065304739385618,19.627449290958534,16.649434820352976,-29259.5669491984
3089534353001157632,correlated_gaia_astrometry_rv_fixed,117,"parallax_mas, pmra_masyr, pmdec_masyr",0.4716694005713649,2.9178874152359393,-36.27014909233215,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.120129053927672,203.6858027998286,-1247.6846359163847,377.9462390305905,1264.201272331274,1319.487861467994,0.8446417455074627,1.7522374976445294,20.80514129588071,17.15314990494162,-26707.942871442483
3089534353001157632,correlated_gaia_astrometry_rv_fixed,118,"parallax_mas, pmra_masyr, pmdec_masyr",0.45928435277622276,2.9153788724727088,-36.29484080206523,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.1773003890842983,220.36348170037192,-1283.2607684060763,468.4124874841816,1302.0438793670755,1383.7371579271773,0.839473341825247,1.9083926601019674,21.868252064220975,17.749695299219,-24567.633457127955
3089534353001157632,correlated_gaia_astrometry_rv_fixed,119,"parallax_mas, pmra_masyr, pmdec_masyr",0.4732234838929886,2.912139672601036,-36.27640393909101,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.113166472157018,201.86290164486377,-1244.2411565920172,367.59884488501393,1260.5096932661504,1313.0169829742192,0.8596706245920808,1.5614035346004618,20.692006060670177,17.18443714783567,-26944.88068727541
3089534353001157632,correlated_gaia_astrometry_rv_fixed,120,"parallax_mas, pmra_masyr, pmdec_masyr",0.4673147406247627,2.9064000987388128,-36.27519542931249,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.1398854199700175,209.44917854037223,-1260.7156672357517,408.5610781257668,1277.9956776159,1341.713496453029,0.8441344357350954,1.7880913285649351,21.155928885238637,17.425013365149198,-25986.909615422246
3089534353001157632,correlated_gaia_astrometry_rv_fixed,121,"parallax_mas, pmra_masyr, pmdec_masyr",0.4379029019392993,2.878641180276171,-36.27642008883527,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.2836112653544753,252.47137884669215,-1350.0292229851386,633.1600272063176,1373.4339081479702,1512.3532391946374,0.814275982251297,2.468462524544886,24.113587061361432,18.98179975435483,-20459.242036752756
3089534353001157632,correlated_gaia_astrometry_rv_fixed,122,"parallax_mas, pmra_masyr, pmdec_masyr",0.4525498949330725,2.885616690926667,-36.30836155868537,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.2097010985891172,230.38394124614362,-1305.9784026547443,519.4499587963423,1326.1434117714207,1424.2487873536231,0.8254685864076797,2.153444236495497,22.523422720253333,18.086553052433167,-23310.562818672668
3089534353001157632,correlated_gaia_astrometry_rv_fixed,123,"parallax_mas, pmra_masyr, pmdec_masyr",0.43567249555192394,2.918795300583172,-36.28941143478029,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.295302113880675,255.80614774469836,-1354.0004817806248,653.8966074389526,1377.9528619971536,1525.2327242445062,0.8096475711235266,2.5683836201750556,24.4171782172499,19.125070478598854,-19950.931542652404
