source_id,mc_mode,draw_index,parallax_draw_mas,parallax_reference_mas,parallax_error_mas,pmra_masyr_fixed,pmdec_masyr_fixed,radial_velocity_kms_fixed,valid_draw,rejection_reason,distance_kpc_draw,Lx_kpc_kms,Ly_kpc_kms,Lz_kpc_kms,Lperp_kpc_kms,Ltot_kpc_kms,galpy_eccentricity,galpy_rperi_kpc,galpy_rap_kpc,galpy_zmax_kpc,galpy_energy
3089534353001157632,measured_only_parallax,41,0.4501043751908519,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.221706908705304,233.4119740260801,-1310.3327713560238,536.6641664750375,1330.9594739541508,1435.0824188480103,0.821903797757258,2.2233447336634753,22.74456256211473,17.871184134939845,-22898.991843161963
3089534353001157632,measured_only_parallax,42,0.4507614767250496,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.2184681957858805,232.44525150059337,-1308.377218912477,531.5805118298989,1328.864832070712,1431.2440681000774,0.82356854873245,2.1940375001184913,22.67723669000688,17.936368567307817,-23024.38472283871
3089534353001157632,measured_only_parallax,43,0.45452235959826276,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.200111785224091,227.00015790257936,-1297.3002277908106,502.8262309940833,1317.0106122252337,1409.7344328949337,0.8308350610482672,2.0608804461742967,22.30445741810169,18.01213385861929,-23729.249599245162
3089534353001157632,measured_only_parallax,44,0.44471961422641837,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.2486078149251,241.5113764391991,-1326.5894070989673,579.0097367235002,1348.3943043400718,1467.4533979644336,0.819004528982843,2.3208760551263206,23.324804934386606,18.422501171019576,-21845.53165389721
3089534353001157632,measured_only_parallax,45,0.46382375763829137,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.1559913297495226,214.14979645389633,-1270.7228371500344,434.1236671929379,1288.6414024762196,1359.8014644031396,0.839159468454964,1.8762642573748398,21.454475069975345,17.575003474132444,-25382.82651212997
3089534353001157632,measured_only_parallax,46,0.4475507213176419,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.2343836181425036,237.2132001863429,-1317.9904520469665,556.5921807405383,1339.1672539416477,1450.2288749335814,0.8193822311334443,2.2845334387415264,23.012351281713535,17.954440908224043,-22405.21775642616
3089534353001157632,measured_only_parallax,47,0.43476265331631175,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.3001055688020413,257.36383553782446,-1357.7786325174459,660.6739684195959,1381.9547600278693,1531.7601154590045,0.8075679394429036,2.6109287468538858,24.525180894077767,19.19519686431954,-19769.38021518021
3089534353001157632,measured_only_parallax,48,0.432381048400946,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.3127748167923916,261.33373148120893,-1365.465425968964,680.8854493531438,1390.2485924202538,1548.029761944947,0.8064929373828289,2.660657926364387,24.838678690905827,19.33424959892746,-19246.642206727574
3089534353001157632,measured_only_parallax,49,0.49785023451817495,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.008636193508699,173.65924297426258,-1182.4362186496173,208.8612516785882,1195.1204725235025,1213.2336816531044,0.9103365547760489,0.8967040353322563,19.104848059673028,16.290949406803232,-30489.941021637307
3089534353001157632,measured_only_parallax,50,0.4560203536710134,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.1928845762034332,224.87224678659774,-1292.942170684636,491.53269340614315,1312.3516998539496,1401.3819510742417,0.8351053142956942,1.9912007897657888,22.159981296677806,17.926562628190553,-24004.042910499298
3089534353001157632,measured_only_parallax,51,0.4597920785591374,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.1748961033294147,219.6149170709387,-1282.1026739753138,463.4905643780629,1300.77591398931,1380.884311476606,0.8360212960458113,1.9478766789122428,21.809801994489508,17.701230207201323,-24681.32111495367
3089534353001157632,measured_only_parallax,52,0.42816454998982734,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.3355506662654784,268.53997868911006,-1379.297845717721,717.3401448158412,1405.1961668592373,1577.7050265243836,0.8009245028340624,2.8104896734192,25.424925668294513,19.5376764163823,-18295.012876078228
3089534353001157632,measured_only_parallax,53,0.48219421981691885,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.073853146517773,191.11880438018665,-1221.419755899543,307.76261838926575,1236.281771073816,1274.0135190676856,0.871319214175422,1.3789918949784734,20.053763370572398,16.872491353907705,-28308.516377687025
3089534353001157632,measured_only_parallax,54,0.4628516892901328,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.160519283258276,215.45316719265446,-1273.4473629424022,441.1477693082081,1291.5449095708225,1364.80753507735,0.835183938914537,1.9343910985825135,21.538941364804824,17.616979338099508,-25215.765074096485
3089534353001157632,measured_only_parallax,55,0.43778704856298284,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.284215586738934,252.42377049080102,-1348.1454086812214,635.3918311614173,1371.5734770171994,1511.60066881558,0.8124696627982048,2.497727884250364,24.140392875513864,18.980521718704097,-20418.32365918451
3089534353001157632,measured_only_parallax,56,0.4746268909785106,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.1069181266538823,200.25039557552725,-1241.239401383326,358.38851819534074,1257.2889375456193,1307.370568143877,0.8632002467603059,1.5117726080785225,20.590205974144006,17.11199943459708,-27154.66948866032
3089534353001157632,measured_only_parallax,57,0.4656537100276945,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.1475185926050617,211.72039757134425,-1265.6265504275389,420.9964893160367,1283.2131903525928,1350.5088433295457,0.8478967041548061,1.7532580463456504,21.300260111867896,17.49154485632003,-25693.81067545236
3089534353001157632,measured_only_parallax,58,0.4706552715353296,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.124697332588859,205.23827395195923,-1251.9118240346654,385.744655850727,1268.6236495716855,1325.9731911958017,0.8474427332609219,1.7254928404151937,20.89542686138229,17.146973497480428,-26520.925954661183
3089534353001157632,measured_only_parallax,59,0.4663046591363205,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.144520712815048,210.86377026307912,-1263.8239306255982,416.3568548387016,1281.2940557231573,1347.2444053707081,0.8463626093594288,1.767893246347333,21.24594783721093,17.455992374874285,-25803.3386789216
3089534353001157632,measured_only_parallax,60,0.46904436540702515,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.1319944844284073,207.3012017396411,-1256.2952229234568,396.99967836774914,1273.2837371862554,1333.7391874002553,0.8528006731148821,1.6701317436734495,21.021979409482945,17.297337820339052,-26258.122340259815
3089534353001157632,measured_only_parallax,61,0.4602361278491085,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.172797699896903,219.005262053335,-1280.8389311131618,460.22563896691884,1299.4274401682292,1378.5206966254318,0.8252723731589585,2.083619083611125,21.76629087375009,17.693027618625003,-24759.706639830812
3089534353001157632,measured_only_parallax,62,0.4615652376916846,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.166540974794939,217.19197592435134,-1277.0717646260941,450.498510796365,1295.4090652805892,1371.507766890466,0.8408973225402021,1.871209050456472,21.650821883677725,17.65916015491105,-24992.655689012052
3089534353001157632,measured_only_parallax,63,0.4466619983500099,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.23882936917411,238.55284832525405,-1320.677306572858,563.5922933433758,1342.0491829812463,1455.5865768330912,0.8178025070296303,2.3163556723559844,23.110510906238353,18.12150899884266,-22230.928959546527
3089534353001157632,measured_only_parallax,64,0.49066842685265594,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,2.038036167141222,181.43945926722927,-1199.9922772261411,253.2897605904635,1213.631633891258,1239.7812087628763,0.8923569977393614,1.109992363475806,19.51359375293803,16.494396081091978,-29522.059410481765
3089534353001157632,measured_only_parallax,65,0.5015631649890033,0.4587656346030645,0.018229530984877475,2.906363530788064,-36.28302820325773,-43.26,True,,1.9937668269995958,169.7809465669014,-1173.5681860764946,186.48885705269078,1185.7857551800944,1200.3607586858402,0.8862116644112906,1.1387720803145087,18.876848579269243,16.202790693304305,-30969.76201912316
