source_id,feh,rv,tangential_velocity_kms,bp_rp,absolute_g_mag,known_candidate,hdbscan_label,optics_label,gmm_label,gmm_membership_probability
3089968183354572928,-0.193,41.09,17.152762815996905,0.7787533,3.807269938614777,False,0,0,2,0.6278044175992282
3077609569578620928,-0.101,52.48,6.376853757981342,1.2200785,0.7200621713437734,False,-1,0,0,0.9405983677023446
3089523980656978176,-0.581,27.11,13.558574437139328,0.5994663,3.4111349751993245,False,-1,0,3,0.48807428380379503
3084529891468425856,-0.584,-1.4,16.225167816382754,0.6522846,3.9916477488028,False,-1,0,3,0.7369660990044186
3083732165719960192,-0.212,25.49,25.000941125290616,0.5806484,3.1589052284348806,False,0,0,4,0.6795829090634833
3089858129112961792,-0.132,52.98,8.34993012703908,0.6884632,2.8481264070941243,False,0,0,2,0.792075881922635
3090611397658084224,-0.173,2.12,19.72237885615905,0.6644764,2.6588535039898815,False,0,0,4,0.8345540370964472
3084921012668103424,-0.341,59.67,54.96180276742644,1.6700611,-2.229030884698453,False,-1,0,7,0.9938321577308428
3084046454247098240,0.11,40.56,24.979750221002607,0.70046425,3.5610518502300295,False,0,0,1,0.8606596415316572
3084310298379914752,0.105,40.4,19.98302426571001,1.2608356,0.6369050796806768,False,1,0,0,0.9610265843384571
3084416302471031296,-0.11,34.38,20.552655439767268,0.7493191,2.356969795609551,False,0,0,2,0.8951459343458344
3084602635332668288,-0.562,76.52,60.000823338912106,0.9814911,2.803833638393428,False,-1,0,7,0.9839443521421789
3089602149061540864,0.026,21.09,11.417136839430484,0.66721153,3.635663729523453,False,0,0,1,0.8617251955821763
3089710485316243712,-0.319,-26.72,14.145073193629536,1.1806755,0.3179251770944056,False,-1,0,0,0.9119590212466975
3084839339570236160,-0.459,49.63,16.84981388192127,1.1455469,0.4631014625910765,False,-1,0,0,0.9716017577217498
3089541980863897856,-0.061,58.36,5.466638900497245,0.6487961,3.439293387899662,False,-1,0,3,0.5730831458677303
3084509791021492352,0.065,50.4,27.030618569984075,0.6244345,3.1978939297498723,False,0,0,1,0.5903460881999211
3087929035963906432,-0.047,57.39,23.31069887020459,1.2017488,6.183344556457854,False,-1,0,6,0.9964524112050684
3084674344106392960,-0.421,39.3,27.142432418747568,0.6929827,3.1625936005484334,False,0,0,4,0.6979876880337882
3084409464883129472,-0.052,19.81,12.753637381711496,0.50157166,2.880437917053106,False,0,0,1,0.8651574424983762
3083778821947705472,0.23,24.82,49.26314008945776,0.89487743,3.905609787237484,False,0,0,2,0.9802508209985511
3090109603740928640,-0.257,56.69,27.661266593544777,1.2311268,1.0754412503952508,False,1,0,0,0.7662864976282793
3084045079857881600,-0.467,93.49,29.915626029471408,1.3441,-0.360013497319219,False,-1,0,7,0.9975273610818461
3084804842392512768,-0.275,7.23,26.0330100902101,0.73671436,2.668133229187431,False,0,0,2,0.6995981700760493
3089881906051632640,0.099,28.81,26.751984080409247,1.2629137,1.3791581721856048,False,1,0,7,0.6142470995539153
3090686198808275456,-0.111,16.35,19.652193877430847,1.5355492,-0.3163175048768707,False,-1,0,7,0.997089128448435
3084454579219410816,0.016,-9.66,18.878798745406662,0.79453087,4.420295506903656,False,0,0,1,0.7282243737899033
3089762505961405824,-0.069,-9.81,13.324555506307297,0.5337467,1.565879916413607,False,-1,0,4,0.9801304424383652
3084428431458446208,-0.232,30.06,36.91105456644496,0.5880604,2.355720512339204,False,0,0,4,0.9856178054171174
3084849029016494080,0.128,48.83,32.09791721471191,1.073659,5.500636332623307,False,0,0,1,0.8485100091623812
3083553185841464704,-0.123,46.6,24.3539679424174,1.2088909,0.4154331601476038,False,1,0,0,0.9768768689305779
3084820029396850944,-0.299,86.54,43.829180460684306,1.051775,1.7738717617151174,False,-1,0,7,0.9986947396096733
3089791574300059136,0.19,11.98,21.505813431735195,0.8810806,4.760147017989622,False,0,0,1,0.8869428042000431
3084618814470882048,-0.951,127.33,165.1111465791632,1.1711559,2.7299872231075355,True,-1,0,5,0.9999999675394294
3083805214523378560,-0.063,24.22,12.948726773128705,1.0911322,0.5858296513387575,False,1,0,0,0.9069938723737505
3089832428028714624,-0.356,15.1,7.511184989394433,1.2090197,0.7930467613844989,False,-1,0,0,0.922720417241169
3089678084083044096,0.442,77.54,24.859696313136695,1.0335445,5.144016450594009,False,-1,0,1,0.9580612391090224
3084113764974373504,-0.163,11.08,20.125398141247494,1.069128,5.48361823251893,False,-1,0,8,0.9125216830181587
3084568344313870848,-0.023,114.38,43.19427550825863,1.3166122,1.2428806098439722,False,-1,0,7,0.9164449727541425
3089797862132101504,0.026,1.99,8.009082043233295,1.0213709,5.040297149053686,False,0,0,1,0.9673014250418881
3089718796077380224,-0.524,39.29,43.13687771525666,1.1235609,0.4394594213952665,False,-1,0,0,0.965193046381734
3089892763729047424,-0.229,16.32,32.23322493625515,0.693141,2.823721351299312,False,0,0,4,0.748041175395319
3090878304107153408,-0.302,49.42,36.53051137976079,1.1620846,0.4196303186812891,False,1,0,0,0.9815956544180361
3084921321905730560,-0.452,73.54,37.829146242711765,1.2009506,0.8300288967314806,False,-1,0,0,0.7950567176302631
3089777521166867328,-0.25,51.52,2.6767803752944266,0.6121712,3.5843622318829773,False,-1,0,3,0.8614124014882953
3077492020618293248,-0.305,61.02,15.163081309084244,1.1830492,0.3835447775623599,False,-1,0,0,0.9584722090417824
3089747761336662656,0.116,5.59,19.72882327023,0.82910347,3.841950617396748,False,0,0,1,0.8744873184417048
3084504572638600192,0.058,-0.7,2.959691830161833,0.87202454,4.2302886027465245,False,0,0,1,0.9264111691798893
3084027556391317504,-0.25,48.31,57.59476536729398,0.8107395,2.820003093378208,False,0,0,2,0.8906170233699938
3089685776368151680,-0.169,20.14,9.95904430100802,0.54790115,2.486257509735797,False,0,0,4,0.691439179304877
3089503360517989888,0.109,40.57,22.12891911494211,1.506752,0.8435153729883247,False,-1,0,7,0.9978548191709018
3089654371567961600,-0.329,57.39,55.22566300531431,1.1202116,-0.0845803782456044,False,-1,0,0,0.981400719111523
3084431077158500864,-0.372,85.67,11.842709760020425,1.2823839,1.4283948948391014,False,-1,0,7,0.9139379728514998
3083704334331949184,-0.249,45.03,45.09528709554099,0.62042904,2.948222978310893,False,0,0,4,0.9669493980360911
3083803737054467584,-0.154,1.36,14.399314114610428,0.82107925,4.884761495004216,False,0,0,3,0.5696114224916828
3090739765639905664,0.118,-2.42,26.04037643688149,1.2684011,0.5649313959665498,False,-1,0,0,0.9354853953618277
3083791986024000000,-0.069,73.33,42.74117094870389,1.2686701,0.8829993604094106,False,1,0,0,0.7942381480405555
3084425476520954624,-0.028,3.01,13.913116104945129,0.74568653,3.351003847002705,False,0,0,1,0.6710854588324362
3083775287191161856,0.058,44.88,45.491903393985446,1.2638855,1.6933492219885302,False,-1,0,7,0.9963856694754796
3089621734112292224,-0.235,78.5,10.117301086586709,1.2634802,0.977760117750936,False,-1,0,0,0.6052406172499302
3089673892195105664,-0.018,-3.7,15.632391265008538,1.3126078,6.59258830449064,False,-1,0,6,0.9910287727741478
3090645654317127936,-0.317,48.8,43.329599904522006,1.1140041,-0.7557637516916635,False,-1,0,0,0.5847068982387327
3084828894209960832,-0.405,51.18,40.21132177899727,0.6114445,2.58948638744819,False,0,0,4,0.9393643459131253
3077493742900837120,-0.003,15.09,3.471008538291269,0.62169075,1.8875503940562128,False,-1,0,4,0.9215358509066601
3084443206146098688,-0.254,22.02,28.013472278551323,0.83824444,3.726065483997006,False,0,0,2,0.7993098877398959
3084466914365485056,-0.04,3.74,7.804993704084743,0.5275068,3.0564219663925236,False,0,0,1,0.7568655233792022
3089851532042958208,-0.139,-2.84,2.9173473575091444,0.7478962,4.546333755565797,False,0,0,3,0.6128813639095833
3084112253145897344,-0.46,67.24,40.65784552300401,0.63701916,2.1766703179879627,False,-1,0,4,0.7197223607757064
3089543462628539904,-0.507,21.72,24.063779590074684,0.66547203,3.924645563816792,False,0,0,3,0.6453594090872846
3089723198419532160,0.426,14.68,12.243808150072889,0.9258175,4.182725214222312,False,-1,0,1,0.8775895457536405
3089861015330989824,0.127,31.91,29.958730785450875,1.2523928,0.6253165899187927,False,1,0,0,0.9688932338783955
3083609256638613888,-0.107,5.03,8.653957125987063,1.2829266,1.2444375597466395,False,-1,0,0,0.7359390359168195
3083522536954785920,-0.507,12.23,28.85799690277074,1.0531464,2.3289672966239294,False,-1,0,7,0.9953752461961749
3083511782356701440,-0.106,46.53,21.005903074840624,0.7152395,2.945273048929291,False,0,0,2,0.5837890369432855
3077606442842417920,-0.401,29.79,38.556624473076155,0.69208145,2.633212905606694,False,0,0,4,0.6834418168354971
3084689050074707712,-0.082,80.89,30.61435372553205,1.195054,1.2211474269950529,False,-1,0,7,0.8865204374569343
3087923194808403328,-0.389,42.32,36.60297774244244,0.6485653,2.0010324148962546,False,0,0,4,0.7449304499048497
3084917233096863360,-0.04,74.89,70.59633572037227,0.8031416,3.7185662309514207,False,-1,0,2,0.8966757321723604
3090689600422208128,-0.516,-16.71,41.21852688755053,0.86505127,4.003226627734163,False,-1,0,8,0.5156281279488273
3084835525639453312,0.142,20.51,32.92289473410764,0.7274771,1.9785247810378583,False,-1,0,2,0.6826292614566591
3089982133408501120,-0.01,-43.47,37.25753830863372,0.84900093,4.731565387468983,False,-1,0,3,0.8127488969452196
3084897510607078144,-0.41,41.36,7.564951623396071,1.1293173,1.7561614184590797,False,-1,0,7,0.9951792546940518
3090690974811740288,-0.512,1.16,36.77217339694709,0.676878,3.6933774130960217,False,0,0,4,0.5520980457371849
3090637648498388864,0.153,18.61,31.464122935186357,0.73755074,4.278669130029616,False,0,0,1,0.7404381155500896
3083833247773069056,-0.23,29.69,20.1292810663144,0.7824011,1.7556307791135524,False,-1,0,2,0.9889342952660496
3089677018931155712,-0.112,25.05,14.385624960843726,0.7548647,4.285649959403173,False,0,0,1,0.6096210878293127
3089579707856611840,0.141,3.43,20.212418672558087,1.3218956,1.2566725258917837,False,-1,0,0,0.7325232105554885
3084538898017054336,-0.102,55.07,50.43176310272799,1.175909,0.3517994625037381,False,1,0,0,0.9750248367503449
3084106996105920768,0.217,50.37,6.715185415227325,1.4459572,0.6621925827189035,False,-1,0,7,0.997179183065671
3084106034033263872,-0.123,-13.0,15.185476426918948,0.7222023,2.677838640208005,False,0,0,2,0.6773149747514506
3089887747207127680,-0.155,48.34,44.34927166380872,1.0273466,3.0326736749275263,False,-1,0,7,0.9983504110860624
3089820161601978624,-0.351,10.95,26.185581045210984,0.6984787,3.088776407565234,False,0,0,4,0.6936892623253037
3090133213177093632,-0.096,-8.39,53.29019320551413,1.064703,0.6051212954314984,False,-1,0,7,0.8473033069187749
3084866277605255168,-0.373,30.8,38.57601292679708,0.5357952,2.309943539820413,False,0,0,4,0.9797798683132852
3090112666053582976,0.012,12.52,23.161129589706665,0.6424818,3.4367974220562303,False,0,0,1,0.7510500091402794
3083656333778101760,-0.143,22.27,19.563516355874953,1.2209454,0.9472501162468204,False,1,0,0,0.9321986461445007
3084587242170105088,-0.452,38.42,39.25847612794139,1.1968031,0.464649290658464,False,1,0,0,0.9189455815393148
3084821369426667648,-0.46,93.25,43.3274925205309,1.1320267,0.004420980829014,False,-1,0,0,0.9452882656360965
3084416714787867648,-0.207,34.39,13.761572008124144,0.73577785,4.37618611227502,False,0,0,3,0.7054239561018816
3089601290068098560,-0.382,103.5,37.152737844478075,1.1691256,1.5062518001080818,False,-1,0,7,0.994462116278921
3089806589505685888,-0.125,6.36,11.733026239814746,0.8044567,4.823125204131934,False,0,0,1,0.5243454658743184
3083544114870615680,-0.241,10.93,56.49691940098205,0.7990484,4.808080226161696,False,-1,0,3,0.7914915230223752
3090657920744007680,-0.428,19.45,22.414254119901,0.7631378,4.495386104116644,False,0,0,3,0.9516242514002897
3083623623307303424,-0.35,52.24,11.520888232853045,0.7007837,3.5597285875634963,False,0,0,2,0.657606630848332
3090640672155351424,0.104,36.78,60.97356805270869,0.8604641,3.5287609209162234,False,0,0,2,0.9900313481413962
3083656299418375040,-0.415,-11.65,7.667622591427985,0.7362013,3.555657106766557,False,-1,0,2,0.5736268659035718
3084862188796394240,-0.526,11.85,39.81948917343327,0.69035053,2.8867730289070863,False,0,0,4,0.5160241529081714
3084097130563813760,-0.142,33.34,20.778965673246603,1.2525539,1.102849093525727,False,1,0,0,0.8503473754293969
3084679326268601728,-0.431,32.25,35.66331587980262,0.7250538,2.3042357188041365,False,0,0,2,0.6913907137364167
3084455128975206784,0.109,-2.03,15.88304191961923,0.8993044,5.184029871446448,False,0,0,1,0.677737932122408
3084520790434963072,-0.096,0.95,4.297723628163208,0.76863575,4.662526932586832,False,0,0,3,0.5167835605078528
3084720042558606848,0.365,41.13,17.046927174585576,0.8359623,3.2627824537330987,False,0,0,2,0.6528990207362797
3089737315976203648,0.102,7.69,1.7657488963032582,0.704092,3.0152215398305575,False,0,0,1,0.5420174328061568
3083702856863180160,-0.474,18.38,30.858538879632484,0.7245207,3.4196077784557755,False,0,0,4,0.6142355679308034
3089545657355687296,0.042,16.37,25.647545774256137,1.1060524,0.207144268866191,False,1,0,0,0.9914924722936214
3084092354560184064,-0.362,46.02,20.59123769313223,1.1899166,0.724376980393675,False,1,0,0,0.9493800127641866
3089996014742584832,-0.31,44.72,24.352719517924687,0.59708023,3.2384926351898944,False,0,0,4,0.7178908350126557
3087923538405893632,-0.397,28.79,17.705708296916026,1.0127163,5.875522946991159,False,-1,0,6,0.9738405319031386
3084437708587715968,0.212,33.3,24.223848095821776,0.9309845,5.1258239538012855,False,0,0,1,0.8428136205749766
3089865653895604736,-0.287,-0.46,30.832994142469364,0.999115,2.7912845255696546,False,-1,0,7,0.9983818436387343
3089816274655593728,-0.224,102.87,18.174320443228783,0.98525524,4.272261510401899,False,-1,0,8,0.4567663657966815
3090650567759772800,-0.416,30.23,32.52844016100265,1.1473961,0.3035682072513594,False,1,0,0,0.9828475972201874
3077490199552166528,-0.158,32.58,11.708927004186275,0.69002914,3.73827058880952,False,0,0,1,0.5829269234790281
3084326520474935168,-0.216,30.18,53.17375292105768,1.0781078,1.7522481337457876,False,-1,0,7,0.9993733445621431
3089661076012690048,-0.323,26.91,70.6047137871022,0.838006,2.754910571058538,False,-1,0,7,0.5046306038578108
3090597928640728192,-0.144,62.5,41.79230700799595,0.6244297,2.2048707499924625,False,0,0,4,0.9799046746191797
3083683443611585024,-0.224,63.91,64.2856473817858,0.693697,2.9039609845523913,False,0,0,4,0.8532116424732343
3089853726769283328,-0.375,-13.51,19.954339289340943,1.3965406,-0.6803629465785228,False,-1,0,7,0.9950651379868057
3083690418638426368,-0.181,13.75,23.652053185195857,0.98581314,5.00416402621997,False,0,0,8,0.6218727291465819
3083764326434901376,-0.217,28.35,27.33650379409182,1.4820766,-0.5694748911839156,False,-1,0,7,0.9984962898124637
